week,repo,total_stars,captured_at
2026-W27,obra/superpowers,246455,2026-07-05T08:57:33.239515
2026-W27,affaan-m/ECC,226142,2026-07-05T08:57:33.239515
2026-W27,anthropics/skills,158298,2026-07-05T08:57:33.239515
2026-W27,JuliusBrussee/caveman,84294,2026-07-05T08:57:33.239515
2026-W27,Graphify-Labs/graphify,77799,2026-07-05T08:57:33.239515
2026-W27,addyosmani/agent-skills,69015,2026-07-05T08:57:33.239515
2026-W27,ComposioHQ/awesome-claude-skills,66840,2026-07-05T08:57:33.239515
2026-W27,santifer/career-ops,58597,2026-07-05T08:57:33.239515
2026-W27,Leonxlnx/taste-skill,56755,2026-07-05T08:57:33.239515
2026-W27,mvanhorn/last30days-skill,49000,2026-07-05T08:57:33.239515
2026-W27,hesreallyhim/awesome-claude-code,48086,2026-07-05T08:57:33.239515
2026-W27,zhayujie/CowAgent,45793,2026-07-05T08:57:33.239515
2026-W27,sickn33/antigravity-awesome-skills,42359,2026-07-05T08:57:33.239515
2026-W27,danny-avila/LibreChat,40296,2026-07-05T08:57:33.239515
2026-W27,kepano/obsidian-skills,39777,2026-07-05T08:57:33.239515
2026-W27,multica-ai/multica,39064,2026-07-05T08:57:33.239515
2026-W27,Imbad0202/academic-research-skills,36293,2026-07-05T08:57:33.239515
2026-W27,github/awesome-copilot,36182,2026-07-05T08:57:33.239515
2026-W27,coreyhaines31/marketingskills,36141,2026-07-05T08:57:33.239515
2026-W27,calesthio/OpenMontage,33293,2026-07-05T08:57:33.239515
2026-W27,K-Dense-AI/scientific-agent-skills,30191,2026-07-05T08:57:33.239515
2026-W27,googleworkspace/cli,29400,2026-07-05T08:57:33.239515
2026-W27,vercel-labs/agent-skills,28680,2026-07-05T08:57:33.239515
2026-W27,blader/humanizer,27521,2026-07-05T08:57:33.239515
2026-W27,VoltAgent/awesome-agent-skills,27334,2026-07-05T08:57:33.239515
2026-W27,volcengine/OpenViking,26325,2026-07-05T08:57:33.239515
2026-W27,vercel-labs/skills,25060,2026-07-05T08:57:33.239515
2026-W27,zarazhangrui/frontend-slides,24558,2026-07-05T08:57:33.239515
2026-W27,OthmanAdi/planning-with-files,24520,2026-07-05T08:57:33.239515
2026-W27,mukul975/Anthropic-Cybersecurity-Skills,24466,2026-07-05T08:57:33.239515
2026-W27,openai/skills,23253,2026-07-05T08:57:33.239515
2026-W27,Donchitos/Claude-Code-Game-Studios,22609,2026-07-05T08:57:33.239515
2026-W27,phuryn/pm-skills,22535,2026-07-05T08:57:33.239515
2026-W27,agentskills/agentskills,22423,2026-07-05T08:57:33.239515
2026-W27,alchaincyf/huashu-design,20883,2026-07-05T08:57:33.239515
2026-W27,alirezarezvani/claude-skills,20261,2026-07-05T08:57:33.239515
2026-W27,op7418/guizang-ppt-skill,20134,2026-07-05T08:57:33.239515
2026-W27,tanweai/pua,18630,2026-07-05T08:57:33.239515
2026-W27,teng-lin/notebooklm-py,17200,2026-07-05T08:57:33.239515
2026-W27,muratcankoylan/Agent-Skills-for-Context-Engineering,16872,2026-07-05T08:57:33.239515
2026-W27,liyupi/ai-guide,16817,2026-07-05T08:57:33.239515
2026-W27,larksuite/cli,15111,2026-07-05T08:57:33.239515
2026-W27,wasp-lang/open-saas,14830,2026-07-05T08:57:33.239515
2026-W27,ComposioHQ/awesome-codex-skills,14564,2026-07-05T08:57:33.239515
2026-W27,google/skills,14390,2026-07-05T08:57:33.239515
2026-W27,travisvn/awesome-claude-skills,13944,2026-07-05T08:57:33.239515
2026-W27,wanshuiyin/Auto-claude-code-research-in-sleep,13002,2026-07-05T08:57:33.239515
2026-W27,op7418/Humanizer-zh,12378,2026-07-05T08:57:33.239515
2026-W27,NVIDIA/SkillSpector,11971,2026-07-05T08:57:33.239515
2026-W27,AgriciDaniel/claude-seo,10521,2026-07-05T08:57:33.239515
2026-W27,Jeffallan/claude-skills,10412,2026-07-05T08:57:33.239515
2026-W27,Orchestra-Research/AI-Research-SKILLs,10385,2026-07-05T08:57:33.239515
2026-W27,diet103/claude-code-infrastructure-showcase,9734,2026-07-05T08:57:33.239515
2026-W27,nicobailon/visual-explainer,9172,2026-07-05T08:57:33.239515
2026-W27,ykdojo/claude-code-tips,9014,2026-07-05T08:57:33.239515
2026-W27,zubair-trabzada/geo-seo-claude,8854,2026-07-05T08:57:33.239515
2026-W27,eze-is/web-access,8070,2026-07-05T08:57:33.239515
2026-W27,virgiliojr94/book-to-skill,7853,2026-07-05T08:57:33.239515
2026-W27,earthtojake/text-to-cad,7584,2026-07-05T08:57:33.239515
2026-W27,nexu-io/html-anything,7526,2026-07-05T08:57:33.239515
2026-W27,refly-ai/refly,7421,2026-07-05T08:57:33.239515
2026-W27,zhaoxuya520/reverse-skill,7236,2026-07-05T08:57:33.239515
2026-W27,helloianneo/ian-xiaohei-illustrations,6956,2026-07-05T08:57:33.239515
2026-W27,jnMetaCode/superpowers-zh,6384,2026-07-05T08:57:33.239515
2026-W27,google-labs-code/stitch-skills,6375,2026-07-05T08:57:33.239515
2026-W27,heilcheng/awesome-agent-skills,5931,2026-07-05T08:57:33.239515
2026-W27,deanpeters/Product-Manager-Skills,5576,2026-07-05T08:57:33.239515
2026-W27,Imbad0202/academic-research-skills-codex,5481,2026-07-05T08:57:33.239515
2026-W27,antfu/skills,5480,2026-07-05T08:57:33.239515
2026-W27,ageerle/ruoyi-ai,5470,2026-07-05T08:57:33.239515
2026-W27,uditgoenka/autoresearch,5249,2026-07-05T08:57:33.239515
2026-W27,jacob-bd/notebooklm-mcp-cli,5174,2026-07-05T08:57:33.239515
2026-W27,tech-leads-club/agent-skills,4817,2026-07-05T08:57:33.239515
2026-W27,eastlondoner/vibe-tools,4784,2026-07-05T08:57:33.239515
2026-W27,Master-cai/Research-Paper-Writing-Skills,4737,2026-07-05T08:57:33.239515
2026-W27,op7418/guizang-social-card-skill,4614,2026-07-05T08:57:33.239515
2026-W27,twostraws/SwiftUI-Agent-Skill,4257,2026-07-05T08:57:33.239515
2026-W27,Dimillian/Skills,3790,2026-07-05T08:57:33.239515
2026-W27,SamurAIGPT/Generative-Media-Skills,3691,2026-07-05T08:57:33.239515
2026-W27,worldwonderer/oh-story-claudecode,3688,2026-07-05T08:57:33.239515
2026-W27,gotalab/cc-sdd,3537,2026-07-05T08:57:33.239515
2026-W27,Nutlope/hallmark,3528,2026-07-05T08:57:33.239515
2026-W27,IvanMurzak/Unity-MCP,3441,2026-07-05T08:57:33.239515
2026-W27,white0dew/XiaohongshuSkills,3129,2026-07-05T08:57:33.239515
2026-W27,taishi-i/awesome-ChatGPT-repositories,3122,2026-07-05T08:57:33.239515
2026-W27,ningzimu/codex-ppt-skill,3056,2026-07-05T08:57:33.239515
2026-W27,eugeniughelbur/obsidian-second-brain,2960,2026-07-05T08:57:33.239515
2026-W27,op7418/Claude-to-IM-skill,2795,2026-07-05T08:57:33.239515
2026-W27,xingkongliang/skills-manager,2741,2026-07-05T08:57:33.239515
2026-W27,JimLiu/baoyu-design,2320,2026-07-05T08:57:33.239515
2026-W27,conorbronsdon/avoid-ai-writing,2157,2026-07-05T08:57:33.239515
2026-W27,codejunkie99/agentic-stack,2154,2026-07-05T08:57:33.239515
2026-W27,ciembor/agent-rules-books,2082,2026-07-05T08:57:33.239515
2026-W27,iamzhihuix/skills-manage,2065,2026-07-05T08:57:33.239515
2026-W27,FrancyJGLisboa/agent-skill-creator,1731,2026-07-05T08:57:33.239515
2026-W27,Eronred/aso-skills,1580,2026-07-05T08:57:33.239515
2026-W27,wondelai/skills,1550,2026-07-05T08:57:33.239515
2026-W27,bergside/awesome-design-skills,1547,2026-07-05T08:57:33.239515
2026-W27,0Chencc/clawgod,1542,2026-07-05T08:57:33.239515
2026-W27,Shpigford/chops,1440,2026-07-05T08:57:33.239515
2026-W27,wuji-labs/nopua,1343,2026-07-05T08:57:33.239515
2026-W27,bevibing/tutor-skills,1004,2026-07-05T08:57:33.239515
2026-W27,cookiy-ai/user-research-skill,974,2026-07-05T08:57:33.239515
2026-W27,MrGeDiao/shuorenhua,617,2026-07-05T08:57:33.239515
2026-W27,echoVic/boss-skill,549,2026-07-05T08:57:33.239515
2026-W27,mgechev/skillgrade,541,2026-07-05T08:57:33.239515
2026-W27,Jane-xiaoer/claude-skill-web-clone,520,2026-07-05T08:57:33.239515
2026-W27,meodai/skill.color-expert,514,2026-07-05T08:57:33.239515
2026-W27,VILA-Lab/FigMirror,487,2026-07-05T08:57:33.239515
2026-W27,jihe520/social-push,480,2026-07-05T08:57:33.239515
2026-W27,OtterMind/Nubase,451,2026-07-05T08:57:33.239515
2026-W27,LeonChaoX/qinyan-academic-skills,449,2026-07-05T08:57:33.239515
2026-W27,alexknowshtml/api2cli,446,2026-07-05T08:57:33.239515
2026-W27,peterfei/ai-agent-team,394,2026-07-05T08:57:33.239515
2026-W27,yogsoth-ai/de-anthropocentric-research-engine,381,2026-07-05T08:57:33.239515
2026-W27,liyupi/yupi-skill,365,2026-07-05T08:57:33.239515
2026-W27,HuangYuChuh/ComfyUI_Skills_OpenClaw,339,2026-07-05T08:57:33.239515
2026-W27,AI272/speaker,338,2026-07-05T08:57:33.239515
2026-W27,heygen-com/skills,331,2026-07-05T08:57:33.239515
2026-W27,tmchow/illo-skill,260,2026-07-05T08:57:33.239515
